team,rank,av_age,gp,w,l,ol,pts,pts_perc,gf,ga,sow,sol,simp_rat_sys,strength_of_sched,goal_game,evgf,evga,pp,ppo,pp_perc,ppa,ppoa,pk_perc,sh,sha,pm_game,o_pm_game,shots,shot_percent,shots_against,sv_percent,pdo,year,playoff,champ,runner
Ottawa Senators,13,27.9,82,44,32,6,94,0.573,225,238,5,5,-0.22,-0.06,5.65,165,174,49,290,16.9,50,318,84.28,5,4,13.9,13.1,2436,9,2302,0.901,98,2009,TRUE,FALSE,FALSE
Boston Bruins,14,28.1,82,39,30,13,91,0.555,206,200,10,9,0.01,-0.06,4.95,146,150,44,265,16.6,37,272,86.4,6,3,11.6,11.6,2599,7.5,2444,0.922,99.4,2009,TRUE,FALSE,FALSE
Calgary Flames,15,28.8,82,40,32,10,90,0.549,204,210,3,7,-0.03,0.04,5.05,150,141,43,268,16.04,54,305,82.3,7,1,13.9,12.4,2350,8.6,2251,0.916,99.8,2009,FALSE,FALSE,FALSE
St. Louis Blues,16,27.9,82,40,32,10,90,0.549,225,223,7,5,0.08,0.06,5.46,159,167,53,308,17.21,45,342,86.84,6,6,16.1,15.6,2445,8.9,2439,0.911,100,2009,FALSE,FALSE,FALSE
Anaheim Ducks,17,27.9,82,39,32,11,89,0.543,238,251,5,8,-0.07,0.09,5.96,162,166,63,300,21,67,323,79.26,8,9,16.1,15.8,2472,9.4,2736,0.911,100.8,2009,FALSE,FALSE,FALSE
Dallas Stars,18,28.3,82,37,31,14,88,0.537,237,254,7,10,-0.12,0.09,5.99,160,167,61,328,18.6,65,288,77.43,8,8,11.7,12.5,2523,9.1,2490,0.904,100,2009,FALSE,FALSE,FALSE
Philadelphia Flyers,19,27.7,82,41,35,6,88,0.537,236,225,4,3,0.08,-0.06,5.62,158,157,68,318,21.38,57,334,82.93,5,7,16.6,15.2,2589,9,2320,0.905,99.5,2009,TRUE,FALSE,TRUE
Montreal Canadiens,20,27.5,82,39,33,10,88,0.537,217,223,7,5,-0.14,-0.07,5.37,149,141,57,261,21.84,53,311,82.96,3,8,11.4,10.1,2345,9,2447,0.921,100.4,2009,TRUE,FALSE,FALSE
New York Rangers,21,26.8,82,38,33,11,87,0.53,222,218,3,4,0,-0.05,5.37,159,158,55,301,18.27,50,318,84.28,5,6,14.1,13.2,2425,9,2450,0.913,100.3,2009,FALSE,FALSE,FALSE
Minnesota Wild,22,28.6,82,38,36,8,84,0.512,219,246,5,7,-0.26,0.07,5.67,151,173,59,309,19.09,53,306,82.68,3,13,11.3,11.2,2266,9.4,2415,0.901,99.9,2009,FALSE,FALSE,FALSE
Atlanta Thrashers,23,27.5,82,35,34,13,83,0.506,234,256,4,6,-0.33,-0.06,5.98,170,189,51,316,16.14,57,320,82.19,9,4,12.8,13,2409,9.5,2716,0.908,100.5,2009,FALSE,FALSE,FALSE
Carolina Hurricanes,24,28.9,82,35,37,10,80,0.488,230,256,4,5,-0.37,-0.05,5.93,163,171,56,329,17.02,62,320,80.63,7,8,11.8,11.3,2402,9.4,2480,0.904,99.6,2009,FALSE,FALSE,FALSE
Tampa Bay Lightning,25,27,82,34,36,12,80,0.488,217,260,4,7,-0.56,-0.03,5.82,148,159,63,326,19.33,67,336,80.06,2,6,16.8,14.3,2367,9,2256,0.901,99.4,2009,FALSE,FALSE,FALSE
New York Islanders,26,28.3,82,34,37,11,79,0.482,222,264,8,6,-0.53,-0.02,5.93,158,182,49,306,16.01,71,300,76.33,7,3,11.6,12,2493,8.6,2592,0.902,99.2,2009,FALSE,FALSE,FALSE
Columbus Blue Jackets,27,26.1,82,32,35,15,79,0.482,216,259,2,10,-0.42,0.11,5.79,152,152,56,308,18.18,61,334,81.74,6,8,13.2,11.5,2338,9.2,2282,0.905,99,2009,FALSE,FALSE,FALSE
Florida Panthers,28,28.1,82,32,37,13,77,0.47,208,244,6,10,-0.47,-0.03,5.51,151,167,44,309,14.24,59,286,79.37,7,8,11.9,12.8,2331,8.7,2800,0.916,100.8,2009,FALSE,FALSE,FALSE
Toronto Maple Leafs,29,27,82,30,38,14,74,0.451,214,267,4,4,-0.68,-0.03,5.87,162,183,44,315,13.97,73,288,74.65,4,6,13.3,13.5,2671,7.9,2440,0.892,98.9,2009,FALSE,FALSE,FALSE
Edmonton Oilers,30,27.1,82,27,47,8,62,0.378,214,284,8,6,-0.76,0.09,6.07,148,185,52,301,17.28,67,305,78.03,6,5,13.8,12.3,2321,8.9,2460,0.899,99.3,2009,FALSE,FALSE,FALSE
League Average,,27.9,82,41,31,10,92,0.561,233,233,,,0,0,5.68,,,56,304,18.23,56,304,81.77,6,6,12.8,12.3,2486,9.4,2395,0.909,,2009,FALSE,FALSE,FALSE
San Jose Sharks,1,28.7,82,53,18,11,117,0.713,257,204,6,5,0.61,-0.04,5.62,152,137,87,360,24.17,51,304,83.22,12,11,12.8,14.1,2720,9.2,2228,0.911,99.3,2008,TRUE,FALSE,FALSE
Boston Bruins,2,28.4,82,53,19,10,116,0.707,274,196,4,6,0.89,-0.06,5.73,188,129,74,313,23.64,54,306,82.35,8,7,12.5,12.8,2482,10.9,2524,0.925,102.5,2008,TRUE,FALSE,FALSE
Detroit Red Wings,3,31.2,82,51,21,10,112,0.683,295,244,6,4,0.62,0,6.57,193,165,90,353,25.5,71,327,78.29,6,4,10,10.9,2965,9.7,2274,0.894,99.6,2008,TRUE,FALSE,TRUE
Washington Capitals,4,27.2,82,50,24,8,108,0.659,272,245,4,5,0.27,-0.06,6.3,176,154,85,337,25.22,75,387,80.62,7,11,12.7,11.4,2747,9.8,2418,0.901,99.5,2008,TRUE,FALSE,FALSE
New Jersey Devils,5,30.3,82,51,27,4,106,0.646,244,209,6,2,0.38,-0.05,5.52,168,138,58,307,18.89,65,324,79.94,12,4,12.9,13.1,2698,8.8,2415,0.914,100.8,2008,TRUE,FALSE,FALSE
Chicago Blackhawks,6,25.9,82,46,24,12,104,0.634,264,216,4,7,0.6,0.01,5.85,180,139,70,363,19.28,64,330,80.61,10,6,14.1,15.2,2683,9.7,2344,0.911,99.8,2008,TRUE,FALSE,FALSE
Vancouver Canucks,7,27.9,82,45,27,10,100,0.61,246,220,3,7,0.3,-0.02,5.68,169,139,67,357,18.77,69,371,81.4,7,5,16.5,16.3,2335,10.4,2392,0.911,101.8,2008,TRUE,FALSE,FALSE
Pittsburgh Penguins,8,26.6,82,45,28,9,99,0.604,264,239,6,6,0.28,-0.02,6.13,189,160,62,360,17.22,60,347,82.71,7,13,13.6,14.2,2381,10.8,2484,0.906,101.6,2008,TRUE,TRUE,FALSE
Philadelphia Flyers,9,27,82,44,27,11,99,0.604,264,238,4,6,0.28,-0.04,6.12,173,164,71,316,22.47,67,393,82.95,16,1,17.5,14.8,2441,10.7,2668,0.913,100.3,2008,TRUE,FALSE,FALSE
Calgary Flames,10,28.9,82,46,30,6,98,0.598,254,248,3,2,0.07,0,6.12,184,173,61,358,17.04,58,349,83.38,6,15,15.8,15.6,2643,9.5,2441,0.899,99.4,2008,TRUE,FALSE,FALSE
Carolina Hurricanes,11,27.9,82,45,30,7,97,0.591,239,226,3,5,0.11,-0.05,5.67,158,153,70,374,18.72,59,301,80.4,8,9,9.8,12.5,2675,8.8,2419,0.909,99.3,2008,TRUE,FALSE,FALSE
New York Rangers,12,27,82,43,30,9,95,0.579,210,218,10,6,-0.1,-0.01,5.22,143,158,48,346,13.87,40,329,87.84,9,14,14.6,14.9,2658,7.5,2433,0.913,98.6,2008,TRUE,FALSE,FALSE
Montreal Canadiens,13,27.6,82,41,30,11,93,0.567,249,247,7,7,0.02,-0.01,6.05,160,164,72,374,19.25,65,370,82.43,10,11,15,15.8,2461,9.8,2600,0.908,100.4,2008,TRUE,FALSE,FALSE
Florida Panthers,14,28.6,82,41,30,11,93,0.567,234,231,3,8,0,-0.04,5.67,173,160,51,308,16.56,54,311,82.64,7,9,11,11.3,2411,9.6,2843,0.922,101.5,2008,FALSE,FALSE,FALSE
Columbus Blue Jackets,15,25.8,82,41,31,10,92,0.561,226,230,6,7,-0.01,0.04,5.56,171,149,41,322,12.73,62,346,82.08,8,12,15,14.1,2370,9.3,2281,0.902,100.3,2008,TRUE,FALSE,FALSE
St. Louis Blues,16,27.1,82,41,31,10,92,0.561,233,233,6,6,0.05,0.05,5.68,145,161,72,351,20.51,58,357,83.75,10,8,15.2,15.4,2271,10,2341,0.903,99.7,2008,TRUE,FALSE,FALSE
Buffalo Sabres,17,28.1,82,41,32,9,91,0.555,250,234,8,5,0.18,-0.02,5.9,160,163,75,358,20.95,61,336,81.85,7,5,13.7,14.6,2505,9.7,2575,0.911,100.4,2008,FALSE,FALSE,FALSE
Anaheim Ducks,18,29.2,82,42,33,7,91,0.555,245,238,7,3,0.09,0,5.89,159,149,73,309,23.62,78,385,79.74,6,8,17.4,15.4,2481,9.6,2499,0.906,100.7,2008,TRUE,FALSE,FALSE
Minnesota Wild,19,27.7,82,40,33,9,89,0.543,219,200,5,3,0.22,-0.02,5.11,139,155,66,328,20.12,36,291,87.63,9,6,10.8,11.7,2257,9.5,2518,0.922,100.1,2008,FALSE,FALSE,FALSE
Nashville Predators,20,27.6,82,40,34,8,88,0.537,213,233,6,5,-0.19,0.06,5.44,148,161,50,318,15.72,59,338,82.54,9,8,12.1,11.8,2375,8.7,2411,0.905,100,2008,FALSE,FALSE,FALSE
Edmonton Oilers,21,28.8,82,38,35,9,85,0.518,234,248,6,4,-0.16,0.01,5.88,165,160,60,354,16.95,76,338,77.51,3,8,15.2,15.4,2303,9.9,2668,0.909,101.1,2008,FALSE,FALSE,FALSE
Dallas Stars,22,28.5,82,36,35,11,83,0.506,230,257,6,6,-0.3,0.03,5.94,168,177,54,351,15.38,70,327,78.59,2,4,14,15,2369,9.5,2303,0.891,99.6,2008,FALSE,FALSE,FALSE
Ottawa Senators,23,27.9,82,36,35,11,83,0.506,217,237,4,6,-0.23,0.01,5.54,139,162,66,339,19.47,64,346,81.5,8,5,13.4,13.1,2405,8.9,2336,0.901,99.1,2008,FALSE,FALSE,FALSE
Toronto Maple Leafs,24,28,82,34,35,13,81,0.494,250,293,6,7,-0.49,0.03,6.62,176,201,62,330,18.79,78,308,74.68,6,7,13.7,14.4,2603,9.4,2480,0.885,98.9,2008,FALSE,FALSE,FALSE
Phoenix Coyotes,25,26.6,82,36,39,7,79,0.482,208,252,3,3,-0.5,0.04,5.61,150,177,50,341,14.66,68,293,76.79,5,4,13.3,15,2302,8.9,2591,0.904,99.7,2008,FALSE,FALSE,FALSE
Los Angeles Kings,26,25.5,82,34,37,11,79,0.482,207,234,5,8,-0.29,0.04,5.38,129,156,69,360,19.17,62,361,82.83,4,8,14.7,13.7,2383,8.5,2301,0.902,98.8,2008,FALSE,FALSE,FALSE
Atlanta Thrashers,27,27.9,82,35,41,6,76,0.463,257,280,7,1,-0.3,-0.02,6.55,168,181,69,357,19.33,88,366,75.96,13,10,15.3,14.6,2306,10.8,2683,0.896,100.7,2008,FALSE,FALSE,FALSE
Colorado Avalanche,28,28.6,82,32,45,5,69,0.421,199,257,9,4,-0.66,0.05,5.56,136,181,50,318,15.72,64,318,79.87,4,8,13,12.6,2359,8.1,2376,0.894,98,2008,FALSE,FALSE,FALSE
Tampa Bay Lightning,29,27.4,82,24,40,18,66,0.402,210,279,3,10,-0.81,0.03,5.96,142,171,61,343,17.78,89,405,78.02,4,9,15.9,13.4,2337,8.9,2701,0.9,99.8,2008,FALSE,FALSE,FALSE
New York Islanders,30,27.7,82,26,47,9,61,0.372,201,279,3,5,-0.91,0.05,5.85,132,196,54,320,16.88,73,361,79.78,12,5,14.8,13.1,2372,8.3,2751,0.9,98.4,2008,FALSE,FALSE,FALSE
League Average,,27.9,82,41,32,9,91,0.557,239,239,,,0,0,5.83,,,65,341,18.95,65,341,81.05,8,8,13.9,13.9,2477,9.6,2477,0.906,,2008,FALSE,FALSE,FALSE
Detroit Red Wings,1,32.1,82,54,21,7,115,0.701,257,184,5,5,0.93,0.04,5.38,166,115,81,391,20.72,57,357,84.03,5,7,11.4,12.7,2820,8.9,1930,0.907,100,2007,TRUE,TRUE,FALSE
San Jose Sharks,2,27.7,82,49,23,10,108,0.659,222,193,6,6,0.47,0.12,5.06,139,134,70,374,18.72,44,310,85.81,7,9,13.1,15.7,2428,8.9,1981,0.906,99.1,2007,TRUE,FALSE,FALSE
Montreal Canadiens,3,27.6,82,47,25,10,104,0.634,262,222,5,6,0.35,-0.14,5.9,159,151,90,374,24.06,60,342,82.46,8,3,13.3,14.1,2382,10.8,2589,0.917,101.3,2007,TRUE,FALSE,FALSE
Pittsburgh Penguins,4,26.9,82,47,27,8,102,0.622,247,216,7,4,0.24,-0.14,5.65,157,134,77,378,20.37,68,357,80.95,6,10,14.4,15.1,2268,10.6,2523,0.916,101.9,2007,TRUE,FALSE,TRUE
Anaheim Ducks,5,29.7,82,47,27,8,102,0.622,205,191,8,7,0.3,0.13,4.83,129,108,60,361,16.62,69,408,83.09,8,7,18.1,16.9,2241,8.8,2299,0.92,100.8,2007,TRUE,FALSE,FALSE
New Jersey Devils,6,29.2,82,46,29,7,99,0.604,206,197,8,4,0,-0.11,4.91,142,133,50,320,15.63,54,314,82.8,6,7,11.9,12,2362,8.4,2257,0.914,99.7,2007,TRUE,FALSE,FALSE
Minnesota Wild,7,27.7,82,44,28,10,98,0.598,223,218,3,8,0.16,0.1,5.38,153,151,64,338,18.93,49,330,85.15,3,10,13.4,14.1,2218,9.9,2469,0.915,100.7,2007,TRUE,FALSE,FALSE
New York Rangers,8,27.4,82,42,27,13,97,0.591,213,199,8,9,0.05,-0.12,5.02,140,130,61,370,16.49,53,343,84.55,4,6,14.1,14.3,2579,7.9,2124,0.911,99.8,2007,TRUE,FALSE,FALSE
Dallas Stars,9,29,82,45,30,7,97,0.591,242,207,5,3,0.54,0.11,5.48,160,145,64,354,18.08,51,354,85.59,13,8,14.3,14.6,2187,10.8,2137,0.905,100.3,2007,TRUE,FALSE,FALSE
Philadelphia Flyers,10,28.1,82,42,29,11,95,0.579,248,233,3,6,0.06,-0.12,5.87,148,156,84,385,21.82,65,388,83.25,13,6,17.9,17.3,2358,10.4,2609,0.913,100.4,2007,TRUE,FALSE,FALSE
Colorado Avalanche,11,28.5,82,44,31,7,95,0.579,231,219,7,3,0.24,0.09,5.49,173,155,49,335,14.63,56,301,81.4,2,5,12.1,12.9,2349,9.5,2237,0.903,100.7,2007,TRUE,FALSE,FALSE
Ottawa Senators,12,28.5,82,43,31,8,94,0.573,261,247,3,5,0.06,-0.11,6.2,180,164,60,328,18.29,72,380,81.05,18,6,14.3,13.3,2471,10.4,2456,0.901,100.5,2007,TRUE,FALSE,FALSE
Boston Bruins,13,28.1,82,41,29,12,94,0.573,212,222,6,7,-0.2,-0.08,5.29,141,138,56,319,17.55,71,332,78.61,9,6,13,12.9,2339,8.8,2495,0.914,100.4,2007,TRUE,FALSE,FALSE
Calgary Flames,14,29.5,82,42,30,10,94,0.573,229,227,3,3,0.13,0.1,5.56,158,144,59,352,16.76,72,389,81.49,9,8,16.4,15.3,2316,9.8,2335,0.904,100.6,2007,TRUE,FALSE,FALSE
Washington Capitals,15,27.3,82,43,31,8,94,0.573,242,231,4,4,-0.06,-0.19,5.77,168,151,65,346,18.79,68,349,80.52,5,8,11.9,11.9,2538,9.4,2259,0.9,99.3,2007,TRUE,FALSE,FALSE
Carolina Hurricanes,16,29.3,82,43,33,6,92,0.561,252,249,2,3,-0.15,-0.18,6.11,167,158,79,420,18.81,75,355,78.87,4,13,14.4,16.6,2669,9.4,2368,0.896,99.7,2007,FALSE,FALSE,FALSE
Nashville Predators,17,28.1,82,41,32,9,91,0.555,230,229,3,5,0.13,0.12,5.6,167,165,53,358,14.8,49,335,85.37,7,10,12.5,13.4,2425,9.4,2440,0.908,100.2,2007,TRUE,FALSE,FALSE
Buffalo Sabres,18,26.8,82,39,31,12,90,0.549,255,242,4,9,0.05,-0.11,6.06,176,168,66,366,18.03,56,333,83.18,9,8,12.2,13.5,2478,10.1,2326,0.9,100.3,2007,FALSE,FALSE,FALSE
Vancouver Canucks,19,28.1,82,39,33,10,88,0.537,213,215,6,9,0.08,0.11,5.22,136,135,63,369,17.07,64,368,82.61,8,7,18,18.6,2252,9.2,2367,0.913,100.4,2007,FALSE,FALSE,FALSE
Chicago Blackhawks,20,26.8,82,40,34,8,88,0.537,239,235,5,4,0.16,0.12,5.78,159,156,58,365,15.89,69,385,82.08,17,6,16.9,16.1,2298,10.2,2346,0.902,100.6,2007,FALSE,FALSE,FALSE
Edmonton Oilers,21,27.1,82,41,35,6,88,0.537,235,251,15,4,-0.07,0.12,5.93,156,181,57,344,16.57,56,366,84.7,7,10,14.3,13.8,2156,10.2,2573,0.904,99.9,2007,FALSE,FALSE,FALSE
Florida Panthers,22,28.1,82,38,35,9,85,0.518,216,226,5,6,-0.29,-0.17,5.39,147,151,60,313,19.17,66,374,82.35,4,3,12.5,11.8,2549,8.3,2752,0.92,100.3,2007,FALSE,FALSE,FALSE
Phoenix Coyotes,23,26.5,82,38,37,7,83,0.506,214,231,5,6,-0.04,0.17,5.43,135,149,63,339,18.58,64,332,80.72,11,12,14.5,13.6,2500,8.4,2518,0.911,99.5,2007,FALSE,FALSE,FALSE
Toronto Maple Leafs,24,28.4,82,36,35,11,83,0.506,231,260,3,4,-0.42,-0.06,5.99,163,169,61,343,17.78,77,352,78.13,4,10,13.3,12.4,2542,9,2402,0.893,98.9,2007,FALSE,FALSE,FALSE
Columbus Blue Jackets,25,27.2,82,34,36,12,80,0.488,193,218,3,8,-0.16,0.15,5.01,129,142,53,356,14.89,63,378,83.33,8,5,16.2,15.2,2381,8,2249,0.907,98.7,2007,FALSE,FALSE,FALSE
St. Louis Blues,26,28.4,82,33,36,13,79,0.482,205,237,3,5,-0.24,0.16,5.39,152,163,47,334,14.07,56,359,84.4,3,13,14.1,13.6,2141,9.4,2249,0.897,99.9,2007,FALSE,FALSE,FALSE
New York Islanders,27,28.3,82,35,38,9,79,0.482,194,243,5,3,-0.65,-0.05,5.33,131,157,48,330,14.55,68,375,81.87,10,15,12.7,11.7,2431,7.8,2488,0.904,99.1,2007,FALSE,FALSE,FALSE
Atlanta Thrashers,28,29.3,82,34,40,8,76,0.463,216,272,9,6,-0.8,-0.12,5.95,142,181,52,316,16.46,75,354,78.81,13,10,13.1,11.4,2115,9.8,2782,0.904,100,2007,FALSE,FALSE,FALSE
Los Angeles Kings,29,27.7,82,32,43,7,71,0.433,231,266,5,3,-0.24,0.19,6.06,151,191,64,367,17.44,68,309,77.99,11,4,11.6,12.7,2349,9.6,2625,0.9,99.5,2007,FALSE,FALSE,FALSE
Tampa Bay Lightning,30,27.9,82,31,42,9,71,0.433,223,267,2,1,-0.67,-0.13,5.98,157,203,57,296,19.26,56,312,82.05,7,7,12.7,11,2354,9.4,2311,0.885,98,2007,FALSE,FALSE,FALSE
League Average,,28.2,82,41,32,9,91,0.555,228,228,,,0,0,5.57,,,62,351,17.75,62,351,82.25,8,8,14,14,2383,9.6,2383,0.906,,2007,FALSE,FALSE,FALSE
Detroit Red Wings,1,32.3,82,50,19,13,113,0.689,254,199,2,8,0.72,0.05,5.52,172,117,68,401,16.96,63,408,84.56,12,11,12,12.4,2771,9.1,2020,0.905,99.6,2006,TRUE,FALSE,FALSE
Buffalo Sabres,2,27.2,82,53,22,7,113,0.689,308,242,10,4,0.64,-0.16,6.71,219,153,71,407,17.44,72,386,81.35,8,13,14.6,15.3,2417,12.3,2541,0.906,102.9,2006,TRUE,FALSE,FALSE
Anaheim Ducks,3,28.5,82,48,20,14,110,0.671,258,208,4,10,0.67,0.06,5.68,161,133,89,398,22.36,61,410,85.12,4,4,17.8,17.8,2582,9.8,2248,0.912,101,2006,TRUE,TRUE,FALSE
Nashville Predators,4,27.4,82,51,23,8,110,0.671,272,212,6,5,0.78,0.05,5.9,187,150,71,408,17.4,55,390,85.9,8,2,14.4,15.7,2261,11.8,2561,0.919,103.7,2006,TRUE,FALSE,FALSE
Dallas Stars,5,30,82,50,25,7,107,0.652,226,197,9,4,0.44,0.08,5.16,135,129,79,427,18.5,59,377,84.35,3,6,13.8,14.9,2295,9.5,2114,0.908,100.3,2006,TRUE,FALSE,FALSE
New Jersey Devils,6,29.4,82,49,24,9,107,0.652,216,201,10,8,0.03,-0.15,5.09,137,142,65,367,17.71,40,271,85.24,4,11,10.1,12.3,2354,8.8,2332,0.917,100.5,2006,TRUE,FALSE,FALSE
San Jose Sharks,7,26.4,82,51,26,5,107,0.652,258,199,2,2,0.77,0.05,5.57,157,138,92,410,22.44,55,330,83.33,7,4,11.6,14.2,2346,10.9,2148,0.908,101.7,2006,TRUE,FALSE,FALSE
Ottawa Senators,8,26.6,82,48,25,9,105,0.64,288,222,2,6,0.64,-0.16,6.22,197,143,72,403,17.87,61,394,84.52,17,12,14.3,14.6,2651,10.8,2479,0.913,102.1,2006,TRUE,FALSE,TRUE
Pittsburgh Penguins,9,26,82,47,24,11,105,0.64,277,246,10,6,0.21,-0.17,6.38,159,152,94,463,20.3,75,419,82.1,14,13,15.2,16.9,2366,11.3,2529,0.905,101.8,2006,TRUE,FALSE,FALSE
Vancouver Canucks,10,28,82,49,26,7,105,0.64,222,201,5,4,0.39,0.13,5.16,142,132,70,407,17.2,57,436,86.93,5,8,14.7,14.2,2405,9,2398,0.918,100.8,2006,TRUE,FALSE,FALSE
Minnesota Wild,11,28.2,82,48,26,8,104,0.634,235,191,10,7,0.65,0.11,5.2,144,128,72,380,18.95,48,342,85.96,9,8,10.5,11.6,2431,9.3,2361,0.922,101.5,2006,TRUE,FALSE,FALSE
Atlanta Thrashers,12,29.4,82,43,28,11,97,0.591,246,245,7,4,-0.15,-0.16,5.99,163,152,67,407,16.46,79,391,79.8,9,10,13.4,14,2438,9.8,2582,0.907,100.5,2006,TRUE,FALSE,FALSE
Calgary Flames,13,28.4,82,43,29,10,96,0.585,258,226,3,5,0.51,0.12,5.9,167,135,73,401,18.2,81,414,80.43,15,5,14.7,14.3,2242,11.4,2502,0.912,102.6,2006,TRUE,FALSE,FALSE
Colorado Avalanche,14,28.4,82,44,31,7,95,0.579,272,251,5,4,0.39,0.13,6.38,181,168,79,374,21.12,70,353,80.17,7,9,10.8,11.6,2603,10.3,2378,0.896,99.9,2006,FALSE,FALSE,FALSE
New York Rangers,15,28.6,82,42,30,10,94,0.573,242,216,9,5,0.16,-0.16,5.59,147,140,75,406,18.47,65,400,83.75,11,6,13.5,14.3,2586,9,2329,0.909,99.9,2006,TRUE,FALSE,FALSE
Tampa Bay Lightning,16,28.2,82,44,33,5,93,0.567,253,261,10,2,-0.25,-0.15,6.27,160,182,69,374,18.45,66,305,78.36,14,11,10.9,12.9,2418,10,2234,0.884,98.4,2006,TRUE,FALSE,FALSE
New York Islanders,17,29.7,82,40,30,12,92,0.561,248,240,8,5,-0.04,-0.14,5.95,170,147,63,348,18.1,79,433,81.76,7,9,13,11.1,2457,9.8,2671,0.912,101,2006,TRUE,FALSE,FALSE
Toronto Maple Leafs,18,27.8,82,40,31,11,91,0.555,258,269,4,7,-0.21,-0.08,6.43,180,161,71,401,17.71,90,418,78.47,3,11,13.9,13.2,2681,9.5,2330,0.888,98.3,2006,FALSE,FALSE,FALSE
Montreal Canadiens,19,28,82,42,34,6,90,0.549,245,256,6,5,-0.21,-0.08,6.11,136,176,86,378,22.75,69,419,83.53,17,6,13.8,13.1,2426,9.9,2685,0.907,100.6,2006,FALSE,FALSE,FALSE
Carolina Hurricanes,20,28.2,82,40,34,8,88,0.537,241,253,0,5,-0.29,-0.15,6.02,162,179,67,447,14.99,61,395,84.56,12,8,12.5,14.1,2559,9.4,2336,0.894,98.8,2006,FALSE,FALSE,FALSE
Florida Panthers,21,29.1,82,35,31,16,86,0.524,247,257,2,8,-0.27,-0.15,6.15,179,165,61,337,18.1,78,443,82.39,5,6,14.4,11.4,2730,9,2402,0.896,98.6,2006,FALSE,FALSE,FALSE
St. Louis Blues,22,28.9,82,34,35,13,81,0.494,214,254,6,6,-0.33,0.15,5.71,155,155,46,381,12.07,83,414,79.95,7,10,14.9,13.4,2202,9.4,2369,0.895,98.9,2006,FALSE,FALSE,FALSE
Boston Bruins,23,27.8,82,35,41,6,76,0.463,219,289,9,4,-0.87,-0.01,6.2,131,186,71,412,17.23,81,442,81.67,8,18,15.3,14.5,2370,8.9,2748,0.896,98.5,2006,FALSE,FALSE,FALSE
Columbus Blue Jackets,24,27.8,82,33,42,7,73,0.445,201,249,5,5,-0.42,0.16,5.49,125,149,65,438,14.84,85,453,81.24,6,10,16.5,16,2273,8.6,2345,0.896,98.2,2006,FALSE,FALSE,FALSE
Chicago Blackhawks,25,27.5,82,31,42,9,71,0.433,201,258,6,7,-0.52,0.17,5.6,140,168,43,364,11.81,77,443,82.62,12,6,16.2,13.7,2201,8.9,2408,0.896,98.5,2006,FALSE,FALSE,FALSE
Edmonton Oilers,26,28.2,82,32,43,7,71,0.433,195,248,3,3,-0.43,0.22,5.4,133,182,53,373,14.21,59,382,84.55,6,4,15.7,14.6,2193,8.8,2439,0.9,98.8,2006,FALSE,FALSE,FALSE
Washington Capitals,27,26.9,82,28,40,14,70,0.427,235,286,1,11,-0.73,-0.1,6.35,155,180,67,408,16.42,82,414,80.19,12,14,15,15.1,2295,10.2,2734,0.899,100.1,2006,FALSE,FALSE,FALSE
Los Angeles Kings,28,29.2,82,27,41,14,68,0.415,227,283,4,6,-0.51,0.18,6.22,136,180,81,442,18.33,91,411,77.86,6,6,15.1,16.2,2542,8.8,2440,0.886,97.4,2006,FALSE,FALSE,FALSE
Phoenix Coyotes,29,28.8,82,31,46,5,67,0.409,216,284,5,2,-0.64,0.19,6.1,140,177,66,400,16.5,92,425,78.35,5,13,17.6,15.3,2320,9.1,2470,0.886,97.7,2006,FALSE,FALSE,FALSE
Philadelphia Flyers,30,27.3,82,22,48,12,56,0.341,214,303,1,6,-1.12,-0.04,6.3,145,218,53,376,14.1,65,420,84.52,15,14,15.9,13.6,2360,9,2673,0.889,97.9,2006,FALSE,FALSE,FALSE
League Average,,28.3,82,41,32,9,91,0.557,242,242,,,0,0,5.89,,,70,398,17.58,70,398,82.42,9,9,14.1,14.1,2426,10,2427,0.903,,2006,FALSE,FALSE,FALSE
Carolina Hurricanes,3,29.2,82,52,22,8,112,0.683,294,260,8,2,0.29,-0.13,6.76,174,163,95,531,17.89,81,445,81.8,17,13,13.5,16.2,2553,11.2,2497,0.897,100.9,2005,TRUE,TRUE,FALSE
Detroit Red Wings,1,32.1,82,58,16,8,124,0.756,305,209,4,3,1.03,-0.14,6.27,192,128,102,461,22.13,67,461,85.47,7,10,13.5,13.1,2796,10.8,2180,0.906,101.4,2005,TRUE,FALSE,FALSE
Ottawa Senators,2,27.3,82,52,21,9,113,0.689,314,211,2,6,1.18,-0.08,6.4,185,121,102,490,20.82,73,476,84.66,25,11,17.6,17.7,2811,11.1,2344,0.913,102.4,2005,TRUE,FALSE,FALSE
Dallas Stars,4,29.7,82,53,23,6,112,0.683,265,218,12,1,0.61,0.04,5.89,155,128,88,498,17.67,82,504,83.73,10,7,18.1,17,2333,10.8,2099,0.897,100.5,2005,TRUE,FALSE,FALSE
Buffalo Sabres,5,26.9,82,52,24,6,110,0.671,281,239,5,5,0.5,-0.01,6.34,165,158,101,477,21.17,59,439,86.56,10,17,14,15.2,2510,11,2502,0.906,101.6,2005,TRUE,FALSE,FALSE
Nashville Predators,6,27.6,82,49,25,8,106,0.646,259,227,6,3,0.32,-0.07,5.93,146,129,94,512,18.36,82,533,84.62,12,13,18.5,18,2379,10.6,2661,0.916,102.2,2005,TRUE,FALSE,FALSE
